title,released,rating_x,ratings_count_x,metacritic_score,genres,platforms,developer,publisher,rating_y,user score,ratings_count_y
DRAGON QUEST VIII: JOURNEY OF THE CURSED KING,2004-11-27,TEEN,67.0,84.0,,,,,,,
DRAGON QUEST WARS,2009-09-28,,,,TURN-BASED STRATEGY,DS,INTELLIGENT SYSTEMS,SQUARE ENIX,RATED E FOR EVERYONE,5.3,14.0
DRAGON QUEST XI ECHOES OF AN ELUSIVE AGE,2018-09-04,,,,JRPG,PLAYSTATION 4,SQUARE ENIX,SQUARE ENIX,RATED T FOR TEEN,8.6,987.0
DRAGON QUEST XI S ECHOES OF AN ELUSIVE AGE  DEFINITIVE EDITION,2019-09-27,,,,JRPG,NINTENDO SWITCH,SQUARE ENIX,NINTENDO,RATED T FOR TEEN,8.6,806.0
DRAGON QUEST XI S: ECHOES OF AN ELUSIVE AGE - DEFINITIVE EDITION,2019-09-27,TEEN,35.0,91.0,,,,,,,
DRAGON QUEST XI: ECHOES OF AN ELUSIVE AGE,2017-07-29,TEEN,360.0,91.0,,,,,,,
DRAGON RAGE,2001-11-27,,,,THIRD PERSON SHOOTER,PLAYSTATION 2,3DO,3DO,RATED T FOR TEEN,4.6,5.0
DRAGON SAGA,2015-12-22,,21.0,65.0,,,,,,,
DRAGON SIN,2017-12-22,,6.0,,,,,,,,
DRAGON STAR VARNIR,2019-06-11,,,,JRPG,PLAYSTATION 4,COMPILE HEART,IDEA FACTORY,RATED T FOR TEEN,6.9,35.0
DRAGON VALOR,2000-10-16,,,,ACTION RPG,PLAYSTATION,NAMCO,NAMCO,RATED T FOR TEEN,8.6,25.0
DRAGON'S CROWN,2013-07-25,TEEN,164.0,,,,,,,,
DRAGON'S CROWN,2013-08-06,,,,ACTION RPG,PLAYSTATION VITA,VANILLAWARE,ATLUS,RATED T FOR TEEN,8.2,323.0
DRAGON'S CROWN PRO,2018-05-15,TEEN,26.0,,,,,,,,
DRAGON'S DOGMA,2012-05-22,MATURE,31.0,,,,,,,,
DRAGON'S DOGMA,2012-05-22,,,,ACTION RPG,XBOX 360,CAPCOM,CAPCOM,RATED M FOR MATURE,7.9,353.0
DRAGON'S DOGMA DARK ARISEN,2016-01-15,,,,ACTION RPG,PLAYSTATION 3,QLOC,CAPCOM,RATED M FOR MATURE,8.0,667.0
DRAGON'S DOGMA: DARK ARISEN,2013-04-23,MATURE,641.0,81.0,,,,,,,
DRAGON'S LAIR,2012-05-18,,,,ARCADE,PC,DIGITAL LEISURE,DIGITAL LEISURE,RATED E +10 FOR EVERYONE +10,5.9,19.0
DRAGON'S LAIR HD,2009-12-21,,42.0,,,,,,,,
DRAGON'S PROPHET,2013-09-18,,12.0,63.0,,,,,,,
DRAGON: A GAME ABOUT A DRAGON,2015-04-24,,22.0,,,,,,,,
DRAGONEER'S ARIA,2007-08-21,,,,JRPG,PSP,HIT MAKER,NIS AMERICA,RATED E +10 FOR EVERYONE +10,6.4,5.0
DRAGONIA,2017-05-29,ADULTS ONLY,38.0,,,,,,,,
DRAGONRIDERS CHRONICLES OF PERN,2001-08-13,,,,RPG,DREAMCAST,UBISOFT,RED STORM ENTERTAINMENT,RATED T FOR TEEN,5.8,0.0
DRAGONS AND TITANS,2014-03-12,,32.0,43.0,,,,,,,
DRAGONSPHERE,1994-01-01,,119.0,,,,,,,,
DRAGON’S DOGMA 2,2024-03-21,,23.0,,,,,,,,
DRAKAN THE ANCIENTS' GATES,2002-01-28,,,,ACTION ADVENTURE,PLAYSTATION 2,SURREAL SOFTWARE,SCEA,RATED M FOR MATURE,8.2,31.0
DRAKE HOLLOW,2020-08-28,,,,ACTION ADVENTURE,XBOX ONE,THE MOLASSES FLOOD,THE MOLASSES FLOOD,RATED E +10 FOR EVERYONE +10,6.3,27.0
DRAKE HOLLOW,2020-09-30,,54.0,75.0,,,,,,,
DRAKE OF THE 99 DRAGONS,2003-11-03,,,,THIRD PERSON SHOOTER,PC,IDOL FX,MAJESCO,RATED T FOR TEEN,1.8,29.0
DRAKENGARD,2003-09-11,MATURE,44.0,63.0,,,,,,,
DRAKENGARD,2004-03-02,,,,ACTION RPG,PLAYSTATION 2,CAVIA INC.,SQUARE ENIX,RATED M FOR MATURE,7.8,146.0
DRAKENGARD 2,2006-02-14,,,,ACTION RPG,PLAYSTATION 2,CAVIA INC.,UBISOFT,RATED M FOR MATURE,6.6,58.0
DRAKENGARD 3,2013-12-19,MATURE,64.0,61.0,,,,,,,
DRAKENGARD 3,2014-05-20,,,,ACTION RPG,PLAYSTATION 3,ACCESS GAMES,SQUARE ENIX,RATED M FOR MATURE,8.1,335.0
DRAKENSANG,2009-02-26,,48.0,75.0,,,,,,,
DRAKENSANG THE DARK EYE,2009-02-23,,,,WESTERN RPG,PC,RADON LABS,THQ,RATED T FOR TEEN,8.0,131.0
DRAKENSANG: THE RIVER OF TIME,2010-02-19,,28.0,,,,,,,,
DRAKERZ-CONFRONTATION,2014-05-19,,2.0,,,,,,,,
DRAKKHEN,1988-12-31,,8.0,,,,,,,,
DRAUGEN,2019-05-29,,114.0,73.0,,,,,,,
DRAUGEN,2019-05-29,,,,FIRST-PERSON ADVENTURE,PC,RED THREAD GAMES,RED THREAD GAMES,,6.7,98.0
DRAW A STICKMAN: EPIC,2012-10-25,,56.0,,,,,,,,
DRAW A STICKMAN: EPIC 2,2015-11-06,,8.0,,,,,,,,
DRAW SLASHER,2013-04-23,TEEN,59.0,,,,,,,,
DRAW SOMETHING,2012-02-01,,,,LOGIC PUZZLE,IOS (IPHONE/IPAD),OMGPOP,OMGPOP,,6.3,15.0
DRAW SOMETHING 2,2013-04-25,,,,BOARD,IOS (IPHONE/IPAD),ZYNGA,ZYNGA,,0.0,0.0
DRAW YOUR GAME,2017-08-10,EVERYONE,7.0,,,,,,,,
DRAWFUL 2,2016-06-20,TEEN,300.0,74.0,,,,,,,
DRAWN TO DEATH,2017-04-04,MATURE,113.0,,,,,,,,
DRAWN TO DEATH,2017-04-04,,,,THIRD PERSON SHOOTER,PLAYSTATION 4,SONY INTERACTIVE ENTERTAINMENT,SONY INTERACTIVE ENTERTAINMENT,RATED M FOR MATURE,5.9,149.0
DRAWN TO LIFE,2007-09-10,,,,SANDBOX,DS,5TH CELL,THQ,RATED E FOR EVERYONE,7.4,38.0
DRAWN TO LIFE SPONGEBOB SQUAREPANTS EDITION,2008-09-15,,,,SANDBOX,DS,ALTRON,THQ,RATED E FOR EVERYONE,7.1,9.0
DRAWN TO LIFE THE NEXT CHAPTER,2009-10-27,,,,SANDBOX,WII,PLANET MOON STUDIOS,THQ,RATED E FOR EVERYONE,5.3,6.0
DRAWN TO LIFE TWO REALMS,2020-12-07,,,,SANDBOX,PC,DIGITAL CONTINUE,505 GAMES,RATED E FOR EVERYONE,4.7,18.0
DRAWRACE 2,2011-09-01,,,,AUTO RACING,IOS (IPHONE/IPAD),REDLYNX,CHILLINGO,,6.5,11.0
DRAYT EMPIRE,2016-07-16,,16.0,,,,,,,,
DREAD NAUTICAL,2020-04-29,,,,ROGUELIKE,IOS (IPHONE/IPAD),ZEN STUDIOS,ZEN STUDIOS,RATED E +10 FOR EVERYONE +10,0.0,0.0
DREAD TEMPLAR,2021-09-28,,,,FPS,PC,T19 GAMES,FULQRUM PUBLISHING,,7.3,10.0
DREAD TEMPLAR,2023-01-26,,17.0,,,,,,,,
DREAD X COLLECTION,2020-05-25,,12.0,,,,,,,,
DREADNOUGHT,2017-08-01,TEEN,67.0,,,,,,,,
DREADOUT,2014-05-14,MATURE,75.0,55.0,,,,,,,
DREADOUT,2014-05-15,,,,SURVIVAL,PC,DIGITAL HAPPINESS,DIGITAL HAPPINESS,RATED M FOR MATURE,6.4,107.0
DREADOUT: KEEPERS OF THE DARK,2016-03-24,MATURE,31.0,,,,,,,,
DREAM,2015-07-30,,21.0,59.0,,,,,,,
DREAM,2015-07-31,,,,FIRST-PERSON ADVENTURE,PC,HYPERSLOTH,MASTERTRONIC,,5.9,18.0
DREAM CHRONICLES,2010-10-20,,,,HIDDEN OBJECT,PLAYSTATION 3,PLAYFIRST,HUDSON ENTERTAINMENT,RATED E FOR EVERYONE,0.0,0.0
DREAM DADDY A DAD DATING SIMULATOR,2017-07-20,,,,VIRTUAL LIFE,PC,GAME GRUMPS,GAME GRUMPS,,7.4,106.0
DREAM DADDY: A DAD DATING SIMULATOR,2017-07-13,TEEN,98.0,73.0,,,,,,,
DREAM GOLF VR,2017-11-03,,1.0,,,,,,,,
DREAM OF MIRROR ONLINE,2015-08-14,,10.0,,,,,,,,
DREAM OF PIXELS,2012-11-15,,,,PUZZLE,IOS (IPHONE/IPAD),DAWN OF PLAY,DAWN OF PLAY,,6.8,9.0
DREAM PINBALL 3D,2006-08-30,,12.0,61.0,,,,,,,
DREAM PINBALL 3D,2008-04-22,,,,PINBALL,PC,TOPWARE INTERACTIVE,SOUTHPEAK GAMES,RATED E +10 FOR EVERYONE +10,0.0,0.0
DREAM TRACK NATION,2011-07-21,,,,AUTO RACING,IOS (IPHONE/IPAD),CHILLINGO,CHILLINGO,,0.0,0.0
DREAM TRIGGER 3D,2011-05-10,,,,TOP-DOWN SHOOT-'EM-UP,3DS,"ART CO., LTD.",D3PUBLISHER,RATED E FOR EVERYONE,6.4,30.0
DREAMBREAK,2016-07-20,,12.0,46.0,,,,,,,
DREAMCAST COLLECTION,2011-02-22,,,,COMPILATION,PC,SEGA,SEGA,RATED T FOR TEEN,5.3,13.0
DREAMFALL CHAPTERS,2014-10-20,MATURE,226.0,71.0,,,,,,,
DREAMFALL CHAPTERS,2017-05-12,,,,THIRD-PERSON ADVENTURE,PC,RED THREAD GAMES,RED THREAD GAMES,,6.5,46.0
DREAMFALL CHAPTERS BOOK ONE REBORN,2014-10-21,,,,THIRD-PERSON ADVENTURE,PC,RED THREAD GAMES,RED THREAD GAMES,,7.5,60.0
DREAMFALL CHAPTERS BOOK TWO REBELS,2015-03-12,,,,THIRD-PERSON ADVENTURE,PC,RED THREAD GAMES,RED THREAD GAMES,,7.8,75.0
DREAMFALL THE LONGEST JOURNEY,2006-04-17,,,,THIRD-PERSON ADVENTURE,PC,FUNCOM,ASPYR,RATED M FOR MATURE,8.3,322.0
DREAMFALL: THE LONGEST JOURNEY,2006-04-16,MATURE,213.0,75.0,,,,,,,
DREAMING SARAH,2014-03-06,,33.0,,,,,,,,
DREAMKILLER,2009-10-12,,,,FPS,PC,MINDWARE STUDIOS,ASPYR,RATED M FOR MATURE,5.5,20.0
DREAMLAND,2016-07-07,,3.0,,,,,,,,
DREAMS,2020-02-14,TEEN,106.0,89.0,,,,,,,
DREAMS,2020-02-14,,,,SANDBOX,PLAYSTATION 4,MEDIA MOLECULE,SONY INTERACTIVE ENTERTAINMENT,RATED T FOR TEEN,8.7,1440.0
DREAMS OF DALI,2018-02-18,,3.0,,,,,,,,
DREAMSCAPE,2011-06-09,,,,PUZZLE,IOS (IPHONE/IPAD),SPEEDBUMP,SPEEDBUMP,,0.0,0.0
DREAMSCAPER,2021-08-04,EVERYONE 10+,41.0,,,,,,,,
DREAMSCAPER,2021-08-05,,,,ACTION RPG,PC,AFTERBURNER STUDIOS,AFTERBURNER STUDIOS,RATED E +10 FOR EVERYONE +10,6.7,15.0
DREAMSCAPER: PROLOGUE,2020-04-08,,11.0,,,,,,,,
DREAMSCAPES: NIGHTMARE'S HEIR - PREMIUM EDITION,2015-03-11,,5.0,,,,,,,,
DREAMSCAPES: THE SANDMAN - PREMIUM EDITION,2014-04-16,,5.0,,,,,,,,
DREAMWORKS & AARDMAN FLUSHED AWAY,2006-10-24,,,,3D PLATFORMER,PLAYSTATION 2,MONKEY BAR GAMES,D3PUBLISHER,RATED E FOR EVERYONE,5.8,5.0
DREAMWORKS ALLSTAR KART RACING,2023-11-03,,,,AUTO RACING,XBOX SERIES X,BAMTANG,GAMEMILL ENTERTAINMENT,RATED E FOR EVERYONE,8.0,0.0
DREAMWORKS BEE MOVIE GAME,2007-10-30,,,,ACTION,WII,BEENOX,ACTIVISION,RATED E FOR EVERYONE,8.2,36.0
DREAMWORKS HOW TO TRAIN YOUR DRAGON,2010-03-23,,,,ACTION ADVENTURE,PLAYSTATION 3,ETRANGES LIBELLULES,ACTIVISION,RATED E +10 FOR EVERYONE +10,8.4,7.0
DREAMWORKS KUNG FU PANDA,2008-04-09,,,,2D PLATFORMER,DS,VICARIOUS VISIONS,ACTIVISION,RATED E +10 FOR EVERYONE +10,5.8,5.0
DREAMWORKS KUNG FU PANDA,2008-06-03,,,,3D PLATFORMER,XBOX 360,"LUXOFLUX, INC.",ACTIVISION,RATED E +10 FOR EVERYONE +10,7.2,41.0
DREAMWORKS KUNG FU PANDA 2,2011-05-24,,,,ACTION ADVENTURE,XBOX 360,THQ,THQ,RATED E +10 FOR EVERYONE +10,4.3,6.0
DREAMWORKS KUNG FU PANDA LEGENDARY WARRIORS,2008-11-05,,,,LINEAR ACTION ADVENTURE,WII,ARTIFICIAL MIND AND MOVEMENT,ACTIVISION,RATED E +10 FOR EVERYONE +10,0.0,0.0
DREAMWORKS MADAGASCAR,2005-05-24,,,,3D PLATFORMER,PLAYSTATION 2,TOYS FOR BOB,ACTIVISION,RATED E +10 FOR EVERYONE +10,7.8,12.0
DREAMWORKS MADAGASCAR 3 THE VIDEO GAME,2012-06-05,,,,ADVENTURE,XBOX 360,D3PUBLISHER,D3PUBLISHER,RATED E FOR EVERYONE,5.8,12.0
DREAMWORKS MADAGASCAR ESCAPE 2 AFRICA,2008-11-04,,,,ACTION ADVENTURE,DS,TOYS FOR BOB,ACTIVISION,RATED E +10 FOR EVERYONE +10,8.0,8.0
DREAMWORKS MEGAMIND ULTIMATE SHOWDOWN,2010-11-02,,,,3D PLATFORMER,XBOX 360,THQ STUDIO AUSTRALIA,THQ,RATED E +10 FOR EVERYONE +10,5.0,7.0
DREAMWORKS MONSTERS VS ALIENS,2009-03-24,,,,ACTION ADVENTURE,PLAYSTATION 3,BEENOX,ACTIVISION,RATED E +10 FOR EVERYONE +10,6.1,7.0
DREAMWORKS OVER THE HEDGE,2006-05-05,,,,2D PLATFORMER,GAME BOY ADVANCE,VICARIOUS VISIONS,ACTIVISION,RATED E FOR EVERYONE,0.0,0.0
DREAMWORKS OVER THE HEDGE,2006-05-09,,,,3D PLATFORMER,XBOX,EDGE OF REALITY,ACTIVISION,RATED E +10 FOR EVERYONE +10,8.4,23.0
DREAMWORKS OVER THE HEDGE HAMMY GOES NUTS,2006-11-21,,,,3D PLATFORMER,PSP,AMAZE ENTERTAINMENT,ACTIVISION,RATED E FOR EVERYONE,7.7,6.0
DREAMWORKS SHARK TALE,2004-09-27,,,,3D PLATFORMER,GAME BOY ADVANCE,VICARIOUS VISIONS,ACTIVISION,RATED E FOR EVERYONE,7.8,5.0
DREAMWORKS SHARK TALE,2004-09-27,,,,3D PLATFORMER,PLAYSTATION 2,EDGE OF REALITY,ACTIVISION,RATED E FOR EVERYONE,7.1,8.0
DREAMWORKS SHREK FOREVER AFTER,2010-05-18,,,,ACTION ADVENTURE,DS,XPEC,ACTIVISION,RATED E +10 FOR EVERYONE +10,4.8,13.0
DREAMWORKS SHREK SUPERSLAM,2005-10-25,,,,3D FIGHTING,GAME BOY ADVANCE,SHABA GAMES,ACTIVISION,RATED E +10 FOR EVERYONE +10,5.4,36.0
DREAMWORKS SHREK THE THIRD,2007-05-15,,,,2D PLATFORMER,GAME BOY ADVANCE,VICARIOUS VISIONS,ACTIVISION,RATED E FOR EVERYONE,6.6,8.0
DREAMWORKS SHREK THE THIRD,2007-05-15,,,,ACTION ADVENTURE,PLAYSTATION 2,7 STUDIOS,ACTIVISION,RATED E +10 FOR EVERYONE +10,4.8,10.0
DREAMWORKS SHREKNROLL,2007-11-14,,,,PUZZLE,XBOX 360,BACKBONE ENTERTAINMENT,ACTIVISION,RATED E FOR EVERYONE,8.3,0.0
DREAMWORKS VOLTRON VR CHRONICLES,2017-09-26,,,,ACTION ADVENTURE,PLAYSTATION 4,DIGITAL DOMAIN,DIGITAL DOMAIN,RATED E +10 FOR EVERYONE +10,4.5,8.0
DREDGE,2023-03-29,,132.0,,,,,,,,
DREDGE,2023-03-30,,,,ACTION ADVENTURE,PC,BLACK SALT GAMES,TEAM17,,8.1,136.0
DREDGE THE PALE REACH,2023-11-16,,,,ACTION ADVENTURE,PLAYSTATION 5,BLACK SALT GAMES,TEAM17,,0.0,0.0
DRIFT (OVER) DRIVE,2017-09-22,,5.0,,,,,,,,
DRIFT GEAR RACING FREE,2016-10-21,,1.0,,,,,,,,
DRIFT HORIZON ONLINE,2017-03-23,EVERYONE 10+,6.0,,,,,,,,
DRIFT STREETS JAPAN,2015-12-21,,19.0,,,,,,,,
DRIFT86,2019-04-30,,10.0,,,,,,,,
DRIFTLAND: THE MAGIC REVIVAL,2017-11-15,,29.0,,,,,,,,
DRIFTMOON,2012-10-02,,,,RPG,PC,INSTANT KINGDOM,INSTANT KINGDOM,,7.4,36.0
DRIFTMOON,2013-02-25,,9.0,73.0,,,,,,,
DRIFTWOOD THE VISUAL NOVEL,2016-08-08,,1.0,,,,,,,,
DRIIFT MANIA,2009-09-28,,,,AUTO RACING,WII,KONAMI,KONAMI,RATED E FOR EVERYONE,0.0,0.0
DRILL DEAL: BOREHOLE (ALPHA),2020-08-10,,2.0,,,,,,,,
DRILL DOZER,2006-02-06,,,,2D PLATFORMER,GAME BOY ADVANCE,GAME FREAK,NINTENDO,RATED E FOR EVERYONE,8.4,18.0
DRIV3R,2004-06-21,MATURE,89.0,51.0,,,,,,,
DRIV3R,2004-06-21,,,,OPEN-WORLD ACTION,PLAYSTATION 2,REFLECTIONS INTERACTIVE,ATARI SA,RATED M FOR MATURE,3.7,38.0
DRIVE,2021-02-16,,,,AUTO RACING,NINTENDO SWITCH,DARIUSZ PIETRALA,PM STUDIOS INC.,RATED E FOR EVERYONE,6.2,6.0
DRIVE GIRLS,2017-09-08,,,,ACTION,PLAYSTATION VITA,TAMSOFT,AKSYS GAMES,RATED T FOR TEEN,5.7,13.0
DRIVE MEGAPOLIS,2016-08-24,,8.0,,,,,,,,
DRIVE TO HELL,2014-05-29,EVERYONE 10+,4.0,,,,,,,,
DRIVE!DRIVE!DRIVE!,2016-12-13,,,,AUTO RACING,PLAYSTATION 4,DIFFERENT CLOTH,CHOICE PROVISIONS,RATED E FOR EVERYONE,5.8,6.0
DRIVECLUB,2014-10-07,EVERYONE 10+,442.0,71.0,,,,,,,
DRIVECLUB,2014-10-07,,,,AUTO RACING SIM,PLAYSTATION 4,EVOLUTION STUDIOS,SCEA,RATED E FOR EVERYONE,6.4,1808.0
DRIVECLUB BIKES,2015-10-27,,,,AUTO RACING SIM,PLAYSTATION 4,EVOLUTION STUDIOS,SCEA,RATED E FOR EVERYONE,7.4,127.0
DRIVECLUB VR,2016-09-21,,,,AUTO RACING SIM,PLAYSTATION 4,EVOLUTION STUDIOS,SONY INTERACTIVE ENTERTAINMENT,RATED E FOR EVERYONE,6.9,136.0
DRIVEN,2002-03-30,,,,AUTO RACING,PLAYSTATION 2,BAM ENTERTAINMENT,BAM ENTERTAINMENT,RATED T FOR TEEN,8.5,0.0
DRIVER,1999-06-30,,,,AUTO RACING,PLAYSTATION,REFLECTIONS INTERACTIVE,GT INTERACTIVE,RATED T FOR TEEN,8.0,175.0
DRIVER '76,2007-05-08,,,,AUTO RACING,PSP,SUMO DIGITAL,UBISOFT,RATED M FOR MATURE,7.1,29.0
DRIVER (1999),1996-06-10,TEEN,183.0,85.0,,,,,,,
DRIVER 2,2000-11-13,TEEN,108.0,62.0,,,,,,,
DRIVER 2,2000-11-14,,,,AUTO RACING,PLAYSTATION,REFLECTIONS INTERACTIVE,INFOGRAMES,RATED T FOR TEEN,7.5,146.0
DRIVER 2 ADVANCE,2002-11-04,,,,AUTO RACING,GAME BOY ADVANCE,SENNARI INTERACTIVE,INFOGRAMES,RATED T FOR TEEN,4.0,6.0
DRIVER BOOSTER 3 FOR STEAM,2015-10-28,,12.0,,,,,,,,
DRIVER BOOSTER 4 FOR STEAM,2016-11-07,,8.0,,,,,,,,
DRIVER PARALLEL LINES,2006-03-14,,,,OPEN-WORLD ACTION,XBOX,REFLECTIONS INTERACTIVE,ATARI SA,RATED M FOR MATURE,6.7,69.0
DRIVER RENEGADE,2011-09-06,,,,AUTO RACING,3DS,UBISOFT,UBISOFT,RATED M FOR MATURE,5.4,31.0
DRIVER SAN FRANCISCO,2011-09-01,TEEN,363.0,80.0,,,,,,,
DRIVER SAN FRANCISCO,2011-09-06,,,,AUTO RACING,PLAYSTATION 3,UBISOFT REFLECTIONS,UBISOFT,RATED T FOR TEEN,8.2,204.0
DRIVER: PARALLEL LINES,2006-06-26,MATURE,101.0,61.0,,,,,,,
DRIVING EMOTION TYPES,2001-01-29,,,,AUTO RACING SIM,PLAYSTATION 2,ESCAPE,SQUARE EA,RATED E FOR EVERYONE,3.6,5.0
DRIZZLEPATH,2015-03-12,,7.0,,,,,,,,
DROID ASSAULT,2013-01-09,,24.0,,,,,,,,
DROME RACERS,2002-11-20,,,,AUTO RACING,GAME BOY ADVANCE,ATTENTION TO DETAIL,LEGO MEDIA,RATED E FOR EVERYONE,3.0,0.0
DRONE TACTICS,2008-05-12,,,,TURN-BASED STRATEGY,DS,SUCCESS,ATLUS,RATED E +10 FOR EVERYONE +10,0.0,0.0
"DRONES, THE HUMAN CONDITION",2014-10-30,,14.0,,,,,,,,
DROP ALIVE,2016-12-06,,10.0,,,,,,,,
DROP HUNT - ADVENTURE PUZZLE,2017-02-23,EVERYONE,8.0,,,,,,,,
DROP WIZARD,2015-01-08,,,,ACTION,IOS (IPHONE/IPAD),GIONATHAN PESARESI,GIONATHAN PESARESI,,0.0,0.0
DROPCHORD,2013-08-01,,,,RHYTHM,IOS (IPHONE/IPAD),DOUBLE FINE PRODUCTIONS,DOUBLE FINE PRODUCTIONS,,0.0,0.0
DROPLITZ,2009-06-24,,,,PUZZLE,XBOX 360,BLITZ ARCADE,ATLUS,RATED E FOR EVERYONE,0.0,0.0
DROPLITZ,2009-06-26,EVERYONE,15.0,,,,,,,,
DROPMIX,2017-09-20,,,,BOARD,IOS (IPHONE/IPAD),HARMONIX MUSIC SYSTEMS,HASBRO INTERACTIVE,,6.8,14.0
DROPSHIP UNITED PEACE FORCE,2002-05-29,,,,AIRCRAFT COMBAT SIM,PLAYSTATION 2,CAMDEN STUDIO,BAM ENTERTAINMENT,RATED T FOR TEEN,8.8,0.0
DROPSY,2015-09-09,TEEN,56.0,80.0,,,,,,,
DROPSY,2015-09-10,,,,POINT-AND-CLICK,PC,"TENDERSHOOT, A JOLLY CORPSE",DEVOLVER DIGITAL,,7.5,55.0
DROPZONE,2017-02-15,,17.0,,,,,,,,
DROX OPERATIVE,2012-11-29,,,,ACTION RPG,PC,SOLDAK ENTERTAINMENT,SOLDAK ENTERTAINMENT,,7.2,24.0
DRUG DEALER SIMULATOR,2020-04-15,,25.0,59.0,,,,,,,
DRUG DEALER SIMULATOR,2020-04-16,,,,VIRTUAL CAREER,PC,BYTERUNNERS GAME STUDIO,MOVIE GAMES,,6.4,41.0
DRUG DEALER SIMULATOR: FREE SAMPLE,2020-04-03,,13.0,,,,,,,,
DRUG WARS,2009-03-17,,,,FPS,PC,PALEO ENTERTAINMENT,PALEO ENTERTAINMENT,,3.8,6.0
DRUIDSTONE THE SECRET OF THE MENHIR FOREST,2019-05-15,,,,WESTERN RPG,PC,CTRL ALT NINJA LTD.,CTRL ALT NINJA LTD.,,7.1,30.0
DRUIDSTONE: THE SECRET OF THE MENHIR FOREST,2019-05-14,,22.0,,,,,,,,
DRUNK WIZARDS,2016-06-06,,11.0,,,,,,,,
DRUNKEN ROBOT PORNOGRAPHY,2014-02-19,,16.0,66.0,,,,,,,
DRUNKEN WRESTLERS 2,,,24.0,,,,,,,,
DRUUNA MORBUS GRAVIS,2001-11-27,,,,ACTION ADVENTURE,PC,ARTEMATICA,MICROIDS,RATED M FOR MATURE,5.5,8.0
DRY DROWNING,2019-08-02,,,,VISUAL NOVEL,PC,STUDIO V,VLG,,7.9,14.0
DUAL BLADES,2002-10-07,,,,2D FIGHTING,GAME BOY ADVANCE,VIVID IMAGE,METRO3D,RATED M FOR MATURE,0.0,0.0
DUAL HEARTS,2002-09-23,,,,ACTION RPG,PLAYSTATION 2,MATRIX SOFTWARE,ATLUS,RATED E FOR EVERYONE,6.8,5.0
DUAL SNAKE,2018-01-31,,0.0,,,,,,,,
DUALPENSPORTS,2011-06-21,,,,SPORTS,3DS,INDIESZERO,NAMCO BANDAI GAMES,RATED E +10 FOR EVERYONE +10,2.1,7.0
DUB DASH,2015-10-08,,12.0,,,,,,,,
DUBWARS,2016-07-19,,8.0,,,,,,,,
DUCATI - 90TH ANNIVERSARY,2016-06-09,,10.0,,,,,,,,
DUCATI WORLD CHAMPIONSHIP,2007-09-21,,5.0,35.0,,,,,,,
DUCATI WORLD RACING CHALLENGE,2001-02-09,,,,AUTO RACING SIM,PC,ATTENTION TO DETAIL,ACCLAIM,RATED E FOR EVERYONE,0.0,0.0
DUCK GAME,2015-06-04,,305.0,82.0,,,,,,,
DUCK GAME,2019-05-01,,,,2D PLATFORMER,PC,LANDON PODBIELSKI,ADULT SWIM,RATED E +10 FOR EVERYONE +10,8.1,38.0
DUCK HUNT (1984),1984-04-21,,180.0,,,,,,,,
DUCKTALES: REMASTERED,2013-08-13,EVERYONE,363.0,73.0,,,,,,,
"DUDE, STOP",2018-06-01,EVERYONE,17.0,,,,,,,,
DUE PROCESS,,,12.0,,,,,,,,
DUEL MASTERS,2004-11-02,,,,CARD BATTLE,PLAYSTATION 2,HIGH VOLTAGE SOFTWARE,ATARI SA,RATED E FOR EVERYONE,0.0,0.0
DUEL MASTERS KAIJUDO SHOWDOWN,2004-11-16,,,,BOARD,GAME BOY ADVANCE,MISTIC SOFTWARE,ATARI SA,RATED E FOR EVERYONE,0.0,0.0
DUEL MASTERS SEMPAI LEGENDS,2004-06-01,,,,CARD BATTLE,GAME BOY ADVANCE,MISTIC SOFTWARE,ATARI SA,RATED E FOR EVERYONE,0.0,0.0
DUELYST,2016-08-23,,100.0,82.0,,,,,,,
DUELYST,2016-08-23,,,,TURN-BASED STRATEGY,PC,COUNTERPLAY GAMES,COUNTERPLAY GAMES,,7.7,61.0
DUET,2013-10-10,,,,ACTION,PC,,,,7.2,22.0
DUET,2015-08-03,,33.0,,,,,,,,
DUKE NUKEM 2,1993-12-03,,32.0,,,,,,,,
DUKE NUKEM 3D,1996-01-29,MATURE,276.0,84.0,,,,,,,
DUKE NUKEM 3D,2008-09-24,,,,FPS,XBOX 360,3D REALMS,3D REALMS,RATED M FOR MATURE,8.2,53.0
DUKE NUKEM 3D 20TH ANNIVERSARY WORLD TOUR,2016-10-11,,,,FPS,XBOX ONE,GEARBOX SOFTWARE,GEARBOX PUBLISHING,RATED M FOR MATURE,7.2,50.0
DUKE NUKEM 3D MEGATON EDITION,2015-01-06,,,,FPS,PC,ABSTRACTION GAMES,DEVOLVER DIGITAL,RATED M FOR MATURE,8.1,46.0
DUKE NUKEM 3D: 20TH ANNIVERSARY WORLD TOUR,2016-10-11,MATURE,122.0,72.0,,,,,,,
DUKE NUKEM 3D: MEGATON EDITION,2013-03-20,MATURE,101.0,70.0,,,,,,,
DUKE NUKEM ADVANCE,2002-08-12,,,,FPS,GAME BOY ADVANCE,TORUS GAMES,TAKE-TWO INTERACTIVE,RATED T FOR TEEN,7.8,12.0
DUKE NUKEM CRITICAL MASS,2011-06-06,,,,2D PLATFORMER,DS,"APOGEE SOFTWARE, LTD.",DEEP SILVER,RATED T FOR TEEN,3.5,30.0
DUKE NUKEM FOREVER,2011-06-09,MATURE,536.0,54.0,,,,,,,
